"","country","control_condition","intervention_condition","contrast","pa_effect_size","na_effect_size","optimism_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size","pa_var","na_var","optimism_var","ls_var","ladder_var","envy_var","indebted_var"
"81","France","int.events","text","int.events vs text",0.309313868704789,-0.401144796882052,0.405241355144642,0.0306881268702307,-0.013921887008313,-0.965414335511167,0.296159979708064,0.0712096253648714,0.0717819243007699,0.0718109015626464,0.0703786314329213,0.0703720705364921,0.0785460268546727,0.0711397627702009
"82","France","int.events","hk.list","int.events vs hk.list",-0.257393503469957,0.307216079187055,-0.114429664013866,-0.30179855314125,-0.395554794989929,0.194505932948556,-0.0725182713278207,0.0756134390335976,0.0758739048084358,0.0751212421111697,0.0758433552470199,0.0764487369985141,0.0753503014625203,0.075048693515522
"83","France","int.events","list","int.events vs list",0.281966842648843,-0.127708989348453,0.396373787156847,0.0497807902447472,0.096171712181688,-0.67159306334352,0.638865797857396,0.0652245051103765,0.0647148622523688,0.0658503670361161,0.0646033182291188,0.0646579220286879,0.0682207304521328,0.0678748616210105
"84","France","int.events","god.letter","int.events vs god.letter",-0.228876801357665,-0.206949420293119,-0.228882736399526,-0.175475990824031,-0.539849158552897,-0.463665883965439,0.0161846343837911,0.0927141456195631,0.0926124804319029,0.092714174521925,0.0924844353339882,0.0952572575747818,0.0944439484041773,0.0921596493662697
"85","France","events","letter","events vs letter",0.184276151236733,-0.0166638856142942,0.278703739478263,-0.0536063322803172,-0.224422063427023,-0.46620553047515,0.286219922843668,0.0682601273483353,0.0679747034938365,0.068630619504984,0.0679967031021143,0.0683991744893371,0.0698142790155471,0.0686666031476405
"86","France","events","sub","events vs sub",0.107123117288145,-0.323186236263954,0.389778376554589,-0.0570634713155731,0.0929656410783403,-0.170145634287152,-0.116749319417612,0.0812835847914065,0.0822133246019358,0.0826881029971265,0.081201393566417,0.0812552572730423,0.081458326537501,0.0813051352046759
"87","France","events","text","events vs text",0.35441239918524,-0.563525231614271,0.422998494107153,0.115532153308998,-0.0820356695579654,-0.631748494283866,0.0917788462227718,0.0738932150121977,0.0756382380846493,0.0743779384423856,0.0728726652826701,0.0728125032156848,0.0763795605697767,0.0728278987205408
"88","France","events","hk.list","events vs hk.list",-0.16988163449154,0.0989188769014436,-0.0144984188886491,-0.201442865098347,-0.438183678096468,0.496076945510934,-0.260179272669027,0.0776584501668901,0.077475038382947,0.077382973574705,0.0777711372645969,0.0792271536862423,0.0797472248412164,0.0780318490533234
"89","France","events","list","events vs list",0.335121423263964,-0.310241742630518,0.42212825414034,0.125440894330879,0.0191955515955423,-0.306482923057484,0.364902645951394,0.0679001721170396,0.0677663685382059,0.0684492212388155,0.0670954141973735,0.0669673562909612,0.0677470505653345,0.0680739018894718
"90","France","events","god.letter","events vs god.letter",-0.146566754979059,-0.368768913875455,-0.114595905028474,-0.0821182339832071,-0.56991806216069,-0.13336286379899,-0.170723030016525,0.0947765019445515,0.0960488208131713,0.0946837286977093,0.0946127418410784,0.0981467773213504,0.0947354334976134,0.0948616634924729
"91","Australia","events","text","events vs text",0.687812724883466,0.288958138279164,0.764316822946195,-0.225303868454348,-0.383124613698134,-0.366508333068916,0.769306539375856,0.0785562532916725,0.0749489427469146,0.0795849001558109,0.0746458411493473,0.0755349396352811,0.0754196052703515,0.0796557552084765
"92","Australia","events","letter","events vs letter",0.470868347141032,0.341612367386856,0.658612550596539,-0.444510443262413,-0.280888280205938,0,1.08156571004868,0.0734081875030297,0.0724705268709969,0.0753015222482436,0.0731927636979406,0.0721330198746165,0.0714285714285714,0.0818730748674384
"93","Australia","events","hk.list","events vs hk.list",0.518088318783263,0.0172265038778026,0.561476883407251,-0.180871427488622,-0.0842577175789278,-0.0246427040693929,0.343540457922126,0.0672906915980686,0.0651284435849733,0.0676684398604964,0.0653898768176017,0.0651833033473585,0.0651309477013282,0.0660778249865338
"94","Australia","events","god.letter","events vs god.letter",0.442254590801843,0.0536164680339464,0.454354044108994,0.127652140301506,0.129583969041689,0.0362132521350314,0.171997958270419,0.0685941950733299,0.0669882417613227,0.0686845990259374,0.0671000779553153,0.0671042190895574,0.0669752140445373,0.0672108131946957
"95","Australia","events","list","events vs list",0.427653492371712,0.180605446822609,0.767947513368424,-0.208243160751811,0.196439852432873,0.517715362994273,0.848340221153477,0.0774396395778491,0.0760220057843045,0.0812779025377645,0.0761233915067377,0.0760783292579069,0.0782428630452319,0.0825037303447266
"96","Australia","events","sub","events vs sub",0.239401588542179,0.0740996636464685,0.193630081881331,-0.0406376928006208,0.249978785844949,0.112501653167888,0.0903184974921338,0.073272351120382,0.0728012387527093,0.0730921646477716,0.0727663356792878,0.0733194081456183,0.0728663829510092,0.0728254812148613
"97","Australia","int.events","text","int.events vs text",0.441169500041506,0.0997102264630788,0.277526731326237,-0.0409697155024815,-0.399035192850753,-0.233985477689278,0.763789579852176,0.0820745104058739,0.0802276264208183,0.0808984159942114,0.0801449903040887,0.0817204959795395,0.0806756971658999,0.0859619503511128
"98","Australia","int.events","letter","int.events vs letter",0.221824702019591,0.160937684324047,0.218664600816578,-0.249785134614685,-0.304023884741405,0.0383708271596277,1.08778631605402,0.0778540889042801,0.0776299998639869,0.0778407043775896,0.0779808813566685,0.078269707404926,0.0773951093076535,0.0887586357405136
"99","Australia","int.events","hk.list","int.events vs hk.list",0.250901109474222,-0.159128104223132,0.12005511906896,0.0200007630188695,-0.121137212670475,0.0236488035999075,0.327730187134351,0.0716211155685438,0.0712967223514598,0.0712026833692271,0.071081879911526,0.0712049333061143,0.0710832526304086,0.0720043544377138
"100","Australia","int.events","god.letter","int.events vs god.letter",0.187880645632272,-0.0955008081140523,0.0403342216919005,0.289605511908992,0.0830185698541121,0.0729659465821803,0.149800517615794,0.0732318375327667,0.072998098848367,0.0729311921080907,0.0736655180285244,0.0729782031214936,0.0729642026431009,0.0731170255512913
"101","Australia","int.events","list","int.events vs list",0.171528841060854,-0.00595821088519983,0.341042335693151,-0.016746529081604,0.145895190358477,0.471842929820492,0.853564619990658,0.0819668926188675,0.0816670289143907,0.0828535021231467,0.0816695283629552,0.0818838646928885,0.0839384600383155,0.0891010805493176
