"","outcome","contrast","estimate","SE","df","t.ratio","p.value"
"270","ls","int.events - measure",0.04,0.07,35.54,0.54," "
"271","ls","int.events - mental.sub",-0.14,0.06,34.83,-2.17,"*"
"272","ls","int.events - naikan",-0.12,0.06,34.47,-1.98,"."
"273","ls","int.events - text",-0.11,0.06,33.8,-1.82,"."
"274","ls","letter - list",-0.02,0.07,35.18,-0.24," "
"275","ls","letter - measure",0.13,0.07,35.19,2,"."
"276","ls","letter - mental.sub",-0.04,0.06,34.32,-0.72," "
"277","ls","letter - naikan",-0.03,0.06,34.07,-0.46," "
"278","ls","letter - text",-0.02,0.06,34.42,-0.26," "
"279","ls","list - measure",0.15,0.07,35.14,2.23,"*"
"280","ls","list - mental.sub",-0.03,0.06,34.6,-0.45," "
"281","ls","list - naikan",-0.01,0.06,34.39,-0.19," "
"282","ls","list - text",0,0.06,33.67,-0.02," "
"283","ls","measure - mental.sub",-0.18,0.06,33.65,-2.98,"**"
"284","ls","measure - naikan",-0.16,0.06,34.58,-2.57,"*"
"285","ls","measure - text",-0.15,0.07,34.79,-2.28,"*"
"286","ls","mental.sub - naikan",0.02,0.06,33.6,0.29," "
"287","ls","mental.sub - text",0.03,0.06,33.96,0.44," "
"288","ls","naikan - text",0.01,0.06,33.94,0.18," "
"289","ss","divine.grat - events",0.26,0.06,34.57,4.09,"***"
"290","ss","divine.grat - int.events",0.09,0.07,35.15,1.41," "
"291","ss","divine.grat - letter",-0.05,0.06,33.56,-0.77," "
"292","ss","divine.grat - list",0.03,0.06,34.09,0.42," "
"293","ss","divine.grat - measure",0.1,0.06,33.65,1.75,"."
"294","ss","divine.grat - mental.sub",0.02,0.06,33.25,0.37," "
"295","ss","divine.grat - naikan",0.02,0.06,33.99,0.32," "
"296","ss","divine.grat - text",-0.03,0.07,34.61,-0.44," "
"297","ss","events - int.events",-0.17,0.06,33.68,-2.98,"**"
"298","ss","events - letter",-0.31,0.06,34.56,-5.1,"***"
"299","ss","events - list",-0.23,0.06,34.3,-3.98,"***"
"300","ss","events - measure",-0.16,0.06,34.8,-2.62,"*"
"301","ss","events - mental.sub",-0.24,0.06,34.01,-4.12,"***"
"302","ss","events - naikan",-0.24,0.06,33.89,-4.24,"***"
"303","ss","events - text",-0.29,0.06,33.5,-5,"***"
"304","ss","int.events - letter",-0.14,0.06,34.78,-2.29,"*"
"305","ss","int.events - list",-0.07,0.06,34.31,-1.14," "
"306","ss","int.events - measure",0.01,0.06,35.25,0.16," "
"307","ss","int.events - mental.sub",-0.07,0.06,34.49,-1.2," "
"308","ss","int.events - naikan",-0.07,0.06,34.02,-1.29," "
"309","ss","int.events - text",-0.12,0.06,33.85,-2.09,"*"
"310","ss","letter - list",0.07,0.06,34.63,1.19," "
"311","ss","letter - measure",0.15,0.06,33.94,2.64,"*"
"312","ss","letter - mental.sub",0.07,0.06,34.31,1.14," "
"313","ss","letter - naikan",0.07,0.06,33.88,1.15," "
"314","ss","letter - text",0.02,0.06,34.85,0.26," "
"315","ss","list - measure",0.08,0.06,34.92,1.26," "
"316","ss","list - mental.sub",0,0.06,33.76,-0.07," "
"317","ss","list - naikan",-0.01,0.06,34.5,-0.1," "
"318","ss","list - text",-0.05,0.06,33.54,-0.95," "
"319","ss","measure - mental.sub",-0.08,0.06,34.65,-1.37," "
"320","ss","measure - naikan",-0.08,0.06,34.34,-1.45," "
"321","ss","measure - text",-0.13,0.06,35.14,-2.08,"*"
"322","ss","mental.sub - naikan",0,0.06,34.01,-0.03," "
"323","ss","mental.sub - text",-0.05,0.06,33.82,-0.86," "
"324","ss","naikan - text",-0.05,0.06,34.38,-0.81," "
"325","ladder","divine.grat - events",0.33,0.09,33.84,3.85,"***"
"326","ladder","divine.grat - int.events",0.15,0.08,33.64,1.76,"."
"327","ladder","divine.grat - letter",0.07,0.08,33.11,0.85," "
"328","ladder","divine.grat - list",0.1,0.08,32.48,1.22," "
"329","ladder","divine.grat - measure",0.21,0.09,34.16,2.43,"*"
"330","ladder","divine.grat - mental.sub",0,0.08,33.34,-0.04," "
"331","ladder","divine.grat - naikan",0.06,0.09,34.19,0.66," "
"332","ladder","divine.grat - text",0.09,0.09,33.2,1.09," "
"333","ladder","events - int.events",-0.18,0.08,34.12,-2.22,"*"
"334","ladder","events - letter",-0.26,0.08,33.84,-3.21,"**"
"335","ladder","events - list",-0.23,0.09,34.54,-2.71,"*"
"336","ladder","events - measure",-0.12,0.08,34.03,-1.48," "
"337","ladder","events - mental.sub",-0.33,0.08,33.42,-4.19,"***"
"338","ladder","events - naikan",-0.27,0.08,33.89,-3.37,"**"
"339","ladder","events - text",-0.24,0.08,33.27,-2.91,"**"
"340","ladder","int.events - letter",-0.08,0.08,34.13,-0.95," "
"341","ladder","int.events - list",-0.05,0.08,34.5,-0.59," "
"342","ladder","int.events - measure",0.06,0.09,35.23,0.71," "
"343","ladder","int.events - mental.sub",-0.15,0.08,34.2,-1.82,"."
"344","ladder","int.events - naikan",-0.09,0.08,34.28,-1.08," "
"345","ladder","int.events - text",-0.05,0.08,33.61,-0.66," "
"346","ladder","letter - list",0.03,0.08,33.86,0.34," "
"347","ladder","letter - measure",0.14,0.08,34.2,1.71,"."
"348","ladder","letter - mental.sub",-0.07,0.08,33.66,-0.91," "
"349","ladder","letter - naikan",-0.01,0.08,34.15,-0.15," "
"350","ladder","letter - text",0.02,0.08,33.41,0.28," "
"351","ladder","list - measure",0.11,0.08,34.32,1.35," "
"352","ladder","list - mental.sub",-0.1,0.08,34.03,-1.22," "
"353","ladder","list - naikan",-0.04,0.09,34.83,-0.46," "
"354","ladder","list - text",0,0.08,34.02,-0.06," "
"355","ladder","measure - mental.sub",-0.21,0.08,33.75,-2.65,"*"
"356","ladder","measure - naikan",-0.15,0.08,34.53,-1.83,"."
"357","ladder","measure - text",-0.12,0.08,34.1,-1.4," "
"358","ladder","mental.sub - naikan",0.06,0.08,34.15,0.74," "
"359","ladder","mental.sub - text",0.1,0.08,33.35,1.17," "
"360","ladder","naikan - text",0.03,0.08,33.4,0.43," "
